sample	time	resource	inoculum	replicate.id
S_00009	Day_001	Medium-A	Water	1
S_00010	Day_001	Medium-A	Water	2
S_00011	Day_001	Medium-A	Water	3
S_00012	Day_001	Medium-A	Water	4
S_00013	Day_001	Medium-A	Soil	1
S_00014	Day_001	Medium-A	Soil	2
S_00015	Day_001	Medium-A	Soil	3
S_00016	Day_001	Medium-A	Soil	4
S_00025	Day_001	Medium-A	Water	5
S_00026	Day_001	Medium-A	Water	6
S_00027	Day_001	Medium-A	Water	7
S_00028	Day_001	Medium-A	Water	8
S_00029	Day_001	Medium-A	Soil	5
S_00030	Day_001	Medium-A	Soil	6
S_00031	Day_001	Medium-A	Soil	7
S_00032	Day_001	Medium-A	Soil	8
S_00041	Day_001	Medium-B	Water	1
S_00042	Day_001	Medium-B	Water	2
S_00043	Day_001	Medium-B	Water	3
S_00044	Day_001	Medium-B	Water	4
S_00045	Day_001	Medium-B	Soil	1
S_00046	Day_001	Medium-B	Soil	2
S_00047	Day_001	Medium-B	Soil	3
S_00048	Day_001	Medium-B	Soil	4
S_00057	Day_001	Medium-B	Water	5
S_00058	Day_001	Medium-B	Water	6
S_00059	Day_001	Medium-B	Water	7
S_00060	Day_001	Medium-B	Water	8
S_00061	Day_001	Medium-B	Soil	5
S_00062	Day_001	Medium-B	Soil	6
S_00063	Day_001	Medium-B	Soil	7
S_00064	Day_001	Medium-B	Soil	8
S_00073	Day_001	Medium-C	Water	1
S_00074	Day_001	Medium-C	Water	2
S_00075	Day_001	Medium-C	Water	3
S_00076	Day_001	Medium-C	Water	4
S_00077	Day_001	Medium-C	Soil	1
S_00078	Day_001	Medium-C	Soil	2
S_00079	Day_001	Medium-C	Soil	3
S_00080	Day_001	Medium-C	Soil	4
S_00089	Day_001	Medium-C	Water	5
S_00090	Day_001	Medium-C	Water	6
S_00091	Day_001	Medium-C	Water	7
S_00092	Day_001	Medium-C	Water	8
S_00093	Day_001	Medium-C	Soil	5
S_00094	Day_001	Medium-C	Soil	6
S_00095	Day_001	Medium-C	Soil	7
S_00096	Day_001	Medium-C	Soil	8
S_00105	Day_002	Medium-A	Water	1
S_00106	Day_002	Medium-A	Water	2
